molecule_chembl_id,cleaned_canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4288586,CN1CCN(CCCn2cccc2/C=N/NC(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)CC1,intermediate,518.5970000000002,4.0889000000000015,3.0,7.0,5.562249437179612
CHEMBL4283740,O=C(N/N=C/c1cccn1CCCN1CCCC1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,489.555,4.937300000000004,3.0,6.0,5.455931955649724
CHEMBL4291599,CN(C)CCCn1cccc1/C=N/NC(=O)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,intermediate,445.52700000000016,4.264000000000002,3.0,6.0,5.377785977033705
CHEMBL4287098,O=C(N/N=C/c1cccn1CCCN1CCOCC1)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,intermediate,487.5640000000001,4.034600000000002,3.0,7.0,5.772113295386326
CHEMBL4295022,O=C(N/N=C/c1cccn1CCCN1CCCCC1)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,intermediate,485.59200000000004,5.188300000000004,3.0,6.0,5.432973633840939
CHEMBL4290519,CN1CCN(CCCn2cccc2/C=N/NC(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)cc2)CC1,intermediate,500.60700000000026,3.9498000000000015,3.0,7.0,5.559090917934782
CHEMBL4279863,O=C(N/N=C/c1cccn1CCCN1CCCC1)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,intermediate,471.565,4.798200000000004,3.0,6.0,5.847711655616943
CHEMBL4293863,Nc1nc(N2CCCC2)sc1C(=O)/C=C/c1ccccc1,active,299.399,3.2216000000000022,1.0,5.0,7.528708288941061
CHEMBL4283268,COc1ccccc1/C=C/C(=O)c1sc(N2CCCC2)nc1N,active,329.4250000000001,3.230200000000001,1.0,6.0,7.454692883534176
CHEMBL4280654,Nc1nc(N2CCCC2)sc1C(=O)/C=C/c1ccc(Cl)cc1,active,333.84400000000005,3.8750000000000027,1.0,5.0,7.568636235841013
CHEMBL4288554,Nc1nc(N2CCCC2)sc1C(=O)/C=C/c1ccc(Br)cc1,active,378.295,3.9841000000000024,1.0,5.0,7.522878745280337
CHEMBL4283582,Nc1nc(N2CCCC2)sc1C(=O)/C=C/c1ccc(Cl)cc1Cl,active,368.2890000000001,4.528400000000002,1.0,5.0,7.97469413473523
CHEMBL4294171,Nc1nc(N2CCCC2)sc1C(=O)/C=C/c1ccc([N+](=O)[O-])cc1,active,344.3960000000001,3.129800000000002,1.0,7.0,7.628932137728263
